month;year;milestone;status
3;2006;M. Cultura, 2006;Existente
12;2006;FIC, 2006;Existente
6;2006;Villa del Cine, 2006;Existente
2;2006;FDVC, 2006;Existente
12;2006;CENDIS, 2006;Existente
2;2006;CND, 2006;Existente
2;2006;Amazonia Films, 2006;Existente
2;2006;El Perro y La Rana, 2006;Existente
10;2007;CNH, 2007;Existente
5;2008;UNEARTE, 2008;Existente
1;2008;Alba Ciudad, 2008;Existente
8;2009;C. Orinoco, 2009;Nueva Etapa
5;2013;CEAM, 2013;Existente
9;2013;Mov. C. Rengifo, 2013;Existente
8;2016;C. Llanero, 2016;Existente
4;2017;C.Urbano, 2017;Existente
2;2017;C. Salsero, 2017;Existente
