month;year;milestone;status
6;1818;Correo del Orinoco;Cerrada
6;1827;UCV;Existente
1;1832;ULA;Existente
7;1833;Bib. Nacional;Existente
1;1836;AGN;Existente
10;1872;Gaceta Oficial;Existente
2;1875;Museos de Bellas Artes y Ciencias Naturales;Existente
4;1881;T. Municipal de Caracas;Existente
7;1883;T. Baralt en Maracaibo;Existente
1;1886;T. Puerto Cabello;Existente
10;1887;Academia Nacional de Bellas Artes;Existente
10;1894;T. Valencia;Existente
6;1905;T. Nacional;Existente
4;1917;Protección patrimonial M.I.;Cerrada
6;1930;Orquesta Sinfónica de Venezuela;Existente
7;1936;RNV;Existente
6;1936;Dir.de Cultura y Bellas Artes M.E.;Cerrada
6;1940;Dir. Cultura y Bienestar Social M.T.;Cerrada
6;1948;Esc. Nac. de Ballet;Cerrada
11;1952;Televisora Nacional;Existente
4;1960;INCIBA;Cerrada
5;1966;Cinemateca;Renovada
4;1968;Monte Ávila;Existente
